iter	Passed	Remaining
270	524	1410
271	526	1409
272	528	1407
273	530	1405
274	532	1402
275	533	1400
276	535	1398
277	537	1395
278	539	1393
279	540	1390
280	542	1388
281	544	1386
282	546	1384
283	548	1381
284	549	1379
285	551	1377
286	553	1374
287	555	1372
288	556	1370
289	558	1367
290	560	1365
291	562	1363
292	564	1361
293	566	1360
294	568	1358
295	570	1357
296	572	1354
297	574	1352
298	576	1350
299	578	1348
300	579	1346
301	581	1344
302	583	1342
303	585	1341
304	587	1339
305	589	1337
306	591	1335
307	593	1333
308	595	1331
309	596	1328
310	598	1326
311	600	1324
312	602	1321
313	604	1320
314	605	1317
315	607	1316
316	609	1313
317	611	1311
318	613	1309
319	615	1307
320	617	1306
321	619	1304
322	621	1301
323	623	1299
324	624	1297
325	626	1295
326	628	1294
327	630	1292
328	632	1290
329	634	1288
330	636	1286
331	638	1283
332	639	1281
333	641	1279
334	643	1277
335	645	1275
336	647	1273
337	649	1271
338	651	1269
339	653	1267
340	655	1265
341	657	1264
342	659	1262
343	660	1260
344	662	1258
345	664	1256
346	666	1254
347	668	1252
348	670	1250
349	672	1248
350	674	1246
351	675	1244
352	677	1242
353	679	1240
354	681	1238
355	683	1236
356	685	1234
357	687	1232
358	689	1230
359	691	1228
360	693	1226
361	695	1225
362	697	1223
363	698	1221
364	700	1219
365	702	1216
366	704	1214
367	706	1212
368	707	1210
369	709	1208
370	711	1206
371	713	1204
372	715	1202
373	717	1200
374	719	1198
375	720	1196
376	722	1194
377	724	1192
378	726	1190
379	728	1188
380	730	1186
381	731	1184
382	733	1182
383	735	1180
384	737	1178
385	739	1177
386	741	1174
387	743	1172
388	745	1171
389	747	1169
390	749	1167
391	751	1165
392	753	1163
393	755	1161
394	756	1159
395	758	1157
396	760	1155
397	762	1153
398	764	1151
399	766	1149
400	768	1147
401	769	1145
402	771	1143
403	773	1141
404	775	1139
405	777	1137
406	779	1135
407	781	1133
408	783	1132
409	785	1130
410	787	1129
411	790	1127
412	791	1125
413	793	1123
414	795	1121
415	797	1119
416	799	1117
417	801	1116
418	803	1114
419	805	1112
420	807	1110
421	809	1109
422	811	1107
423	813	1105
424	815	1103
425	817	1101
426	819	1099
427	821	1098
428	823	1096
429	825	1094
430	827	1092
431	829	1091
432	831	1089
433	833	1087
434	835	1085
435	838	1084
436	840	1082
437	842	1080
438	844	1078
439	846	1077
440	848	1075
441	850	1073
442	852	1072
443	854	1070
444	856	1068
445	859	1067
446	861	1065
447	863	1063
448	865	1061
449	867	1059
450	869	1057
451	870	1055
452	872	1054
453	874	1052
454	876	1050
455	878	1048
456	880	1046
457	882	1044
458	884	1042
459	886	1040
460	888	1038
461	890	1036
462	892	1034
463	893	1032
464	895	1030
465	897	1028
466	900	1027
467	901	1025
468	903	1023
469	905	1021
470	907	1019
471	909	1017
472	911	1015
473	913	1013
474	914	1011
475	916	1009
476	918	1007
477	920	1005
478	922	1003
479	924	1001
480	926	999
481	928	997
482	930	996
483	932	994
484	934	992
485	936	990
486	938	988
487	940	986
488	942	984
489	944	982
490	946	980
491	948	979
492	950	977
493	952	975
494	954	973
495	956	971
496	957	969
497	959	967
498	961	965
499	963	963
500	965	961
501	967	959
502	969	958
503	971	956
504	973	954
505	975	952
506	977	950
507	979	948
508	981	946
509	983	944
510	985	942
511	987	940
512	990	940
513	992	938
514	994	936
515	996	934
516	998	932
517	1000	930
518	1002	928
519	1004	926
520	1005	924
521	1008	923
522	1009	921
523	1012	919
524	1014	917
525	1016	915
526	1018	913
527	1020	911
528	1022	910
529	1024	908
530	1026	906
531	1027	904
532	1029	902
533	1032	900
534	1033	898
535	1036	896
536	1037	894
537	1039	893
538	1042	891
539	1043	889
540	1045	887
541	1047	885
542	1049	883
543	1051	881
544	1053	879
545	1055	877
546	1057	875
547	1059	873
548	1061	871
549	1063	870
550	1065	868
551	1067	866
552	1069	864
553	1071	862
554	1073	860
555	1075	858
556	1077	856
557	1079	854
558	1081	852
559	1083	851
560	1085	849
561	1087	847
562	1088	845
563	1090	843
564	1092	841
565	1094	839
566	1096	837
567	1098	835
568	1100	833
569	1102	831
570	1104	829
571	1106	827
572	1108	825
573	1110	824
574	1112	822
575	1114	820
576	1116	818
577	1118	816
578	1120	814
579	1122	812
580	1124	810
581	1126	808
582	1128	807
583	1130	804
584	1132	803
585	1134	801
586	1136	799
587	1138	797
588	1140	795
589	1142	793
590	1144	791
591	1146	789
592	1147	787
593	1150	786
594	1152	784
595	1154	782
596	1156	780
597	1158	778
598	1160	776
599	1162	774
600	1163	772
601	1165	770
602	1167	768
603	1169	767
604	1171	765
605	1173	763
606	1175	761
607	1177	759
608	1179	757
609	1181	755
610	1183	753
611	1185	751
612	1187	749
613	1189	747
614	1191	745
615	1193	744
616	1195	742
617	1197	740
618	1199	738
619	1201	736
620	1203	734
621	1205	732
622	1207	730
623	1209	728
624	1211	726
625	1213	724
626	1215	722
627	1217	721
628	1219	719
629	1221	717
630	1223	715
631	1224	713
632	1227	711
633	1228	709
634	1230	707
635	1232	705
636	1234	703
637	1236	701
638	1238	699
639	1240	697
640	1242	695
641	1244	693
642	1246	692
643	1248	690
644	1250	688
645	1252	686
646	1254	684
647	1256	682
648	1258	680
649	1260	678
650	1261	676
651	1263	674
652	1265	672
653	1267	670
654	1269	668
655	1271	666
656	1273	664
657	1275	662
658	1277	660
659	1279	658
660	1281	656
661	1282	655
662	1284	653
663	1286	651
664	1288	649
665	1290	647
666	1292	645
667	1294	643
668	1296	641
669	1298	639
670	1300	637
671	1302	635
672	1304	633
673	1306	631
674	1308	629
675	1310	627
676	1312	626
677	1314	624
678	1316	622
679	1317	620
680	1320	618
681	1321	616
682	1323	614
683	1325	612
684	1327	610
685	1329	608
686	1331	606
687	1333	604
688	1335	602
689	1337	600
690	1339	599
691	1341	597
692	1343	595
693	1345	593
694	1347	591
695	1349	589
696	1351	587
697	1353	585
698	1355	583
699	1357	581
700	1359	579
701	1361	577
702	1363	575
703	1365	573
704	1367	572
705	1368	570
706	1370	568
707	1372	566
708	1374	564
709	1376	562
710	1378	560
711	1380	558
712	1382	556
713	1384	554
714	1386	552
715	1388	550
716	1389	548
717	1391	546
718	1393	544
719	1395	542
720	1397	540
721	1399	538
722	1401	536
723	1403	534
724	1405	533
725	1407	531
726	1409	529
727	1411	527
728	1413	525
729	1415	523
730	1416	521
731	1418	519
732	1420	517
733	1422	515
734	1424	513
735	1426	511
736	1428	509
737	1430	507
738	1432	505
739	1434	504
740	1436	502
741	1438	500
742	1439	498
743	1441	496
744	1443	494
745	1445	492
746	1447	490
747	1449	488
748	1451	486
749	1453	484
750	1455	482
751	1457	480
752	1459	478
753	1461	476
754	1463	474
755	1465	473
756	1467	471
757	1469	469
758	1471	467
759	1473	465
760	1475	463
761	1477	461
762	1479	459
763	1481	457
764	1483	455
765	1485	453
766	1487	451
767	1489	449
768	1490	447
769	1492	445
770	1494	443
771	1496	442
772	1498	440
773	1500	438
774	1502	436
775	1504	434
776	1506	432
777	1508	430
778	1510	428
779	1512	426
780	1514	424
781	1516	422
782	1518	420
783	1520	418
784	1522	416
785	1524	415
786	1526	413
787	1528	411
788	1530	409
789	1532	407
790	1534	405
791	1536	403
792	1538	401
793	1540	399
794	1541	397
795	1544	395
796	1545	393
797	1547	391
798	1549	389
799	1551	387
800	1553	386
801	1555	384
802	1557	382
803	1559	380
804	1561	378
805	1563	376
806	1566	374
807	1568	372
808	1569	370
809	1571	368
810	1573	366
811	1576	364
812	1578	363
813	1580	361
814	1582	359
815	1584	357
816	1586	355
817	1588	353
818	1590	351
819	1592	349
820	1594	347
821	1596	345
822	1598	343
823	1600	341
824	1601	339
825	1603	337
826	1605	335
827	1607	333
828	1609	331
829	1611	330
830	1613	328
831	1615	326
832	1617	324
833	1619	322
834	1620	320
835	1622	318
836	1624	316
837	1626	314
838	1628	312
839	1630	310
840	1633	308
841	1635	306
842	1637	304
843	1639	302
844	1641	301
845	1642	299
846	1644	297
847	1646	295
848	1648	293
849	1650	291
850	1652	289
851	1654	287
852	1656	285
853	1658	283
854	1660	281
855	1662	279
856	1664	277
857	1666	275
858	1668	273
859	1670	271
860	1672	270
861	1674	268
862	1676	266
863	1678	264
864	1680	262
865	1682	260
866	1684	258
867	1686	256
868	1688	254
869	1690	252
870	1691	250
871	1693	248
872	1695	246
873	1697	244
874	1699	242
875	1701	240
876	1703	238
877	1705	236
878	1707	235
879	1709	233
880	1711	231
881	1712	229
882	1714	227
883	1716	225
884	1718	223
885	1720	221
886	1722	219
887	1724	217
888	1726	215
889	1728	213
890	1730	211
891	1732	209
892	1734	207
893	1736	205
894	1738	203
895	1740	202
896	1742	200
897	1743	198
898	1745	196
899	1747	194
900	1749	192
901	1751	190
902	1752	188
903	1754	186
904	1756	184
905	1758	182
906	1760	180
907	1761	178
908	1763	176
909	1765	174
910	1767	172
911	1768	170
912	1770	168
913	1772	166
914	1774	164
915	1776	162
916	1777	160
917	1779	158
918	1781	156
919	1782	155
920	1784	153
921	1786	151
922	1788	149
923	1790	147
924	1792	145
925	1793	143
926	1795	141
927	1797	139
928	1799	137
929	1800	135
930	1802	133
931	1804	131
932	1806	129
933	1807	127
934	1809	125
935	1811	123
936	1813	121
937	1814	119
938	1816	118
939	1818	116
940	1820	114
941	1821	112
942	1823	110
943	1825	108
944	1827	106
945	1828	104
946	1830	102
947	1832	100
948	1833	98
949	1835	96
950	1837	94
951	1839	92
952	1841	90
953	1842	88
954	1844	86
955	1846	84
956	1848	83
957	1849	81
958	1851	79
959	1853	77
960	1855	75
961	1857	73
962	1858	71
963	1860	69
964	1862	67
965	1864	65
966	1866	63
967	1867	61
968	1869	59
969	1871	57
970	1873	55
971	1875	54
972	1876	52
973	1878	50
974	1880	48
975	1881	46
976	1883	44
977	1885	42
978	1887	40
979	1890	38
980	1892	36
981	1894	34
982	1896	32
983	1898	30
984	1900	28
985	1902	27
986	1904	25
987	1906	23
988	1907	21
989	1909	19
990	1911	17
991	1913	15
992	1915	13
993	1917	11
994	1919	9
995	1921	7
996	1923	5
997	1925	3
998	1927	1
999	1929	0
