iter	Logloss
0	0.6789503308
1	0.6695527093
2	0.6573509773
3	0.6457264818
4	0.6384787568
5	0.6275248093
6	0.6188172842
7	0.6107314222
8	0.6043599646
9	0.5975775562
10	0.5935808407
11	0.5877370039
12	0.5820357494
13	0.5771137616
14	0.572127892
15	0.5680159688
16	0.5639984607
17	0.5600185864
18	0.5565427102
19	0.5539118913
20	0.5513063424
21	0.5487652821
22	0.5453534691
23	0.5430713356
24	0.5408525567
25	0.5380689752
26	0.5353954763
27	0.5337144611
28	0.5316167967
29	0.5292522282
30	0.5277368128
31	0.5261321721
32	0.5247176022
33	0.5225566022
34	0.5209841245
35	0.5199136991
36	0.5187883688
37	0.518223616
38	0.5161990142
39	0.5146497212
40	0.5128208794
41	0.511780878
42	0.5109102312
43	0.5097066121
44	0.5087110881
45	0.5076576553
46	0.5068878876
47	0.5066789566
48	0.5062544262
49	0.5057698265
50	0.5047505489
51	0.5041736597
52	0.5032741199
53	0.5027506052
54	0.5022761405
55	0.5012503575
56	0.5011017373
57	0.5002902807
58	0.4995551023
59	0.4990741775
60	0.4984084131
61	0.4977366656
62	0.4969973253
63	0.4966960307
64	0.4959500857
65	0.4949773427
66	0.4943859701
67	0.4935072209
68	0.4931768719
69	0.4923241947
70	0.4918016904
71	0.4912446017
72	0.4907931214
73	0.4900020953
74	0.4897455137
75	0.489131295
76	0.4887904209
77	0.4883654422
78	0.4878102521
79	0.4873887707
80	0.4869259079
81	0.4862761718
82	0.4858481701
83	0.4854259332
84	0.484879247
85	0.4845209602
86	0.4841988689
87	0.4837211484
88	0.4831934633
89	0.4828412154
90	0.482381714
91	0.4818101945
92	0.4815098304
93	0.4809655791
94	0.4807027816
95	0.4803321136
96	0.480058384
97	0.4797317729
98	0.4794601678
99	0.479275429
100	0.4788726981
101	0.4785347264
102	0.4783296234
103	0.4779737976
104	0.4776179296
105	0.4773854779
106	0.4770778348
107	0.4767526975
108	0.4763308621
109	0.4760437611
110	0.47581372
111	0.4754969908
112	0.4750362966
113	0.4747116597
114	0.4745063037
115	0.4743360116
116	0.474194274
117	0.47400994
118	0.4737441249
119	0.4736403335
120	0.4734116116
121	0.4731968805
122	0.4729055074
123	0.4726728491
124	0.4724135366
125	0.4721250283
126	0.4718492491
127	0.4716029129
128	0.4711807074
129	0.470923394
130	0.4706311177
131	0.4704500782
132	0.4703213231
133	0.4702745927
134	0.4701927722
135	0.470062622
136	0.4698030057
137	0.4695986852
138	0.4693962646
139	0.4692563806
140	0.4691911836
141	0.4689686163
142	0.4688028247
143	0.4686070498
144	0.4683871588
145	0.4682307779
146	0.4678824244
147	0.467689259
148	0.4674585035
149	0.4672795652
150	0.4671033664
151	0.466835607
152	0.4666178395
153	0.4662799074
154	0.4660588391
155	0.4657753784
156	0.4655849137
157	0.4653563113
158	0.4652328828
159	0.4650348247
160	0.4649055243
161	0.464826492
162	0.4647159516
163	0.4645474349
164	0.4644287822
165	0.4642865064
166	0.4641896532
167	0.4639067546
168	0.4635836693
169	0.4634123572
170	0.4633128972
171	0.4631412264
172	0.4629102667
173	0.4626751509
174	0.4625878772
175	0.4624110174
176	0.4622576188
177	0.4621046582
178	0.4619164925
179	0.461635248
180	0.4615237119
181	0.4614534411
182	0.4613222669
183	0.4612109315
184	0.4611497773
185	0.4610653028
186	0.460912829
187	0.4605692497
188	0.4604443198
189	0.4602034522
190	0.4600413938
191	0.4599177769
192	0.4597017435
193	0.4595118998
194	0.4592242699
195	0.4590578675
196	0.4588793673
197	0.4587112723
198	0.458603681
199	0.4584700714
200	0.4582757809
201	0.4581779186
202	0.4580255361
203	0.4579400161
204	0.4578423983
205	0.4577072877
206	0.4574174087
207	0.4573411962
208	0.4571837466
209	0.4570279815
210	0.4568204959
211	0.4566961016
212	0.4565572859
213	0.4564540279
214	0.456236373
215	0.4560817757
216	0.4559130116
217	0.455836563
218	0.455736742
219	0.4556461445
220	0.4555093285
221	0.4553758139
222	0.4551670887
223	0.4550788529
224	0.4550163946
225	0.454781616
226	0.4546089875
227	0.4544511806
228	0.4543730147
229	0.4540868822
230	0.4540236427
231	0.4539239726
232	0.4538560408
233	0.4536973128
234	0.4535519262
235	0.4534768843
236	0.453273291
237	0.4530854678
238	0.4529007626
239	0.4527711607
240	0.452647093
241	0.452528092
242	0.4523854462
243	0.4521972331
244	0.4520644431
245	0.4519053708
246	0.4517426187
247	0.451698194
248	0.4515785641
249	0.4515117507
250	0.4513585639
251	0.4511598683
252	0.4509523304
253	0.4507662755
254	0.4506339182
255	0.4503120942
256	0.4501312283
257	0.4499363966
258	0.4498121496
259	0.4496771052
260	0.449453973
261	0.449278519
262	0.4491159867
263	0.4490371069
264	0.4489668517
265	0.4488327395
266	0.4484567356
267	0.4482984234
268	0.4482129536
269	0.4479337624
270	0.4478540242
271	0.447781821
272	0.44768665
273	0.4474527021
274	0.4472797308
275	0.4470893728
276	0.4469286406
277	0.4468034287
278	0.446592916
279	0.4463345808
280	0.4462112455
281	0.4461372629
282	0.4460045404
283	0.4458899429
284	0.4456770618
285	0.4454386185
286	0.445300571
287	0.4449088951
288	0.4447402973
289	0.4445896928
290	0.4444229306
291	0.4442433261
292	0.4440232551
293	0.4439103365
294	0.4438023369
295	0.4436681682
296	0.4435385735
297	0.4433742254
298	0.4432635392
299	0.4431161587
300	0.4429939731
301	0.4428742086
302	0.4427519332
303	0.4425326472
304	0.4423580839
305	0.4421723915
306	0.4420734924
307	0.4419220116
308	0.4418568731
309	0.4417486081
310	0.4416018772
311	0.4413990741
312	0.4412756832
313	0.4411035984
314	0.4408052763
315	0.4406230524
316	0.4404625289
317	0.4403511445
318	0.4402362684
319	0.4400576122
320	0.4398927879
321	0.4397608856
322	0.4395892192
323	0.4394493328
324	0.4392426671
325	0.4391618705
326	0.4390264976
327	0.4388938461
328	0.4387483335
329	0.4385994103
330	0.4384861788
331	0.4383051408
332	0.4381700245
333	0.4379729777
334	0.4378727768
335	0.4377303331
336	0.4376071516
337	0.4374389973
338	0.4373596482
339	0.437251267
340	0.4370723241
341	0.4369668654
342	0.4368443516
343	0.4367064002
344	0.4366289696
345	0.4365224792
346	0.4363258438
347	0.4362060287
348	0.4360469001
349	0.4358990871
350	0.4357443472
351	0.4355660824
352	0.4354013818
353	0.4352418094
354	0.4350909159
355	0.4347811244
356	0.4346468002
357	0.4345644404
358	0.4343052439
359	0.4341336918
360	0.4340106582
361	0.4338973296
362	0.4337173196
363	0.4334409512
364	0.433248177
365	0.433054517
366	0.4329458916
367	0.4327425652
368	0.4326103195
369	0.4324097714
370	0.432269154
371	0.4321392707
372	0.4320017239
373	0.4319237013
374	0.4317686358
375	0.4316416381
376	0.4314774918
377	0.4313516844
